taxon,geog_radiation
Cacophis_krefftii,australo_papuan
Toxicocalamus_mintoni,australo_papuan
Toxicocalamus_pachysomus,australo_papuan
Toxicocalamus_loriae,australo_papuan
Toxicocalamus_longissimus,australo_papuan
Toxicocalamus_misimae,australo_papuan
Toxicocalamus_preussi,australo_papuan
Toxicocalamus_stanleyanus,australo_papuan
Toxicocalamus_holopelturus,australo_papuan
Micropechis_ikaheca,australo_papuan
Salomonelaps_par,australo_papuan
Loveridgelaps_elapoides,australo_papuan
Ogmodon_vitianus,australo_papuan
Laticauda_frontalis,sea_snakes
Laticauda_saintgironsi,sea_snakes
Laticauda_guineai,sea_snakes
Laticauda_colubrina,sea_snakes
Laticauda_laticaudata,sea_snakes
Laticauda_semifasciata,sea_snakes
Bungarus_multicinctus,kraits
Bungarus_candidus,kraits
Bungarus_magnimaculatus,kraits
Bungarus_niger,kraits
Bungarus_caeruleus,kraits
Bungarus_ceylonicus,kraits
Bungarus_sindanus,kraits
Bungarus_fasciatus,kraits
Bungarus_slowinskii,kraits
Bungarus_bungaroides,kraits
Bungarus_flaviceps,kraits
Elapsoidea_loveridgei,afro-asian
Elapsoidea_nigra,afro-asian
Elapsoidea_semiannulata,afro-asian
Elapsoidea_sundevallii,afro-asian
Naja_guineensis,afro-asian
Naja_peroescobari,afro-asian
Naja_multifasciata,afro-asian
Naja_annulata,afro-asian
Naja_savannula,afro-asian
Naja_subfulva,afro-asian
Naja_melanoleuca,afro-asian
Naja_haje,afro-asian
Naja_arabica,afro-asian
Naja_senegalensis,afro-asian
Naja_annulifera,afro-asian
Naja_anchietae,afro-asian
Naja_nivea,afro-asian
Naja_mandalayensis,afro-asian
Naja_sputatrix,afro-asian
Naja_siamensis,afro-asian
Naja_sumatrana,afro-asian
Naja_naja,afro-asian
Naja_atra,afro-asian
Naja_kaouthia,afro-asian
Naja_mossambica,afro-asian
Naja_nigricincta,afro-asian
Naja_ashei,afro-asian
Naja_nigricollis,afro-asian
Naja_katiensis,afro-asian
Naja_pallida,afro-asian
Naja_nubiae,afro-asian
Hemachatus_haemachatus,afro-asian
Aspidelaps_scutatus,afro-asian
Aspidelaps_lubricus,afro-asian
Walterinnesia_aegyptia,afro-asian
Dendroaspis_viridis,afro-asian
Dendroaspis_jamesoni,afro-asian
Dendroaspis_polylepis,afro-asian
Dendroaspis_angusticeps,afro-asian
Hemibungarus_calligaster,asian-corals
Calliophis_bibroni,asian-corals
Ophiophagus_hannah,afro-asian
Micrurus_pyrrhocryptus,nw-corals
Micrurus_baliocoryphus,nw-corals
Micrurus_ibiboboca,nw-corals
Micrurus_brasiliensis,nw-corals
Micrurus_frontalis,nw-corals
Micrurus_spixii,nw-corals
Micrurus_obscurus,nw-corals
Micrurus_altirostris,nw-corals
Micrurus_mipartitus,nw-corals
Micrurus_dissoleucus,nw-corals
Micrurus_diutius,nw-corals
Micrurus_surinamensis,nw-corals
Micrurus_lemniscatus,nw-corals
Micrurus_hemprichii,nw-corals
Micrurus_decoratus,nw-corals
Micrurus_narduccii,nw-corals
Micrurus_laticollaris,nw-corals
Micrurus_mertensi,nw-corals
Micrurus_bocourti,nw-corals
Micrurus_dumerilii,nw-corals
Micrurus_psyches,nw-corals
Micrurus_albicinctus,nw-corals
Micrurus_annellatus,nw-corals
Micrurus_corallinus,nw-corals
Micrurus_ornatissimus,nw-corals
Micrurus_nigrocinctus,nw-corals
Micrurus_mosquitensis,nw-corals
Micrurus_tener,nw-corals
Micrurus_fulvius,nw-corals
Micrurus_elegans,nw-corals
Micrurus_browni,nw-corals
Micrurus_diastema,nw-corals
Micrurus_alleni,nw-corals
Micrurus_stewarti,nw-corals
Micrurus_distans,nw-corals
Micruroides_euryxanthus,nw-corals
Sinomicrurus_sauteri,asian-corals
Sinomicrurus_kelloggi,asian-corals
Sinomicrurus_macclellandi,asian-corals
Sinomicrurus_japonicus,asian-corals
Calliophis_bivirgatus,asian-corals
Calliophis_salitan,asian-corals
Calliophis_intestinalis,asian-corals
